ID_EVENT,ID_PLAY,ID_ACTIVITY,ID_PLACE,TITLE,DESCRIPTION_ES,FILEPIC1,ROOMS,ID_ARTIST1,ID_ARTIST2,DATE,TIME,TIME_END,SOLDOUT,IS_FREE,IS_PERMANENT,TICKET_NOTES_ES,PUBLISHED,CREATED_TS,UPDATED_TS
63,17,3,19,Moeraki,,1347718915.1442.jpg,Principal,0,0,2012-10-05,21:00:00,NULL,0,1,0,Estreno.,1,2012-09-15 14:15:31,2012-09-25 17:35:31
65,19,4,19,Instructivo para tres cuerpos (parte I),,1347756965.9713.jpg,Fotogalería,NULL,NULL,2012-10-07,19:00:00,NULL,0,1,0,,1,2012-09-16 00:32:19,2012-09-19 20:09:08
66,20,14,1,Interacciones Urbano_Rural en Sala Paradora,,1347998359.444.jpg,Paradora,25,24,2012-10-05,19:00:00,NULL,0,1,0,,1,2012-09-18 19:56:05,2012-09-20 14:34:26
67,NULL,14,1,SIN TITULO - Fue: Interacciones Urbano_Rural en Sala Paradora 2,,NULL,Paradora,NULL,NULL,2012-10-06,18:30:00,NULL,0,1,0,,0,2012-09-19 18:09:59,2012-09-19 18:37:43
68,NULL,0,1,SIN TITULO - Fue: Interacciones Urbano_Rural en Sala Paradora 2,,NULL,Paradora,0,0,2012-10-06,17:50:00,NULL,0,1,0,,0,2012-09-19 18:10:32,2012-09-19 18:10:32
73,33,3,19,Villa Argüello ,,NULL,Principal,0,0,2012-10-07,21:00:00,NULL,0,1,0,Estreno.,1,2012-09-19 18:28:11,2012-09-25 17:36:17
80,24,4,19,Instructivo para tres cuerpos (Parte II),,NULL,Fotogalería,NULL,NULL,2012-10-07,20:20:00,NULL,0,1,0,,1,2012-09-19 18:53:58,2012-09-19 18:54:30
81,25,4,19,Estoy rayando el vinilo de mi vida para que salte y se repita siempre en distinto tiempo,,NULL,Fotogalería,NULL,NULL,2012-10-06,20:15:00,NULL,0,1,0,,1,2012-09-19 18:55:42,2012-09-20 15:07:09
82,29,5,1,Aletas + EGBA,,NULL,Patio de la Fuente,NULL,NULL,2012-10-06,16:00:00,NULL,0,1,0,,1,2012-09-19 18:58:24,2012-09-19 18:58:48
83,30,5,1,"Los Incorporales, Aventura Óptica",,NULL,Terraza,NULL,NULL,2012-10-07,20:30:00,NULL,0,1,0,,1,2012-09-19 18:59:43,2012-09-19 19:00:30
85,31,5,1,Le Freak Selector - Reactable Set + Fiesta de Cierre,,NULL,Terraza,0,0,2012-10-08,21:00:00,NULL,0,1,0,,1,2012-09-19 19:01:38,2012-10-02 15:55:09
86,32,8,1,Passing Through - Clase Especial,"Esta actividad se puede ver y, quienes quieran participar, deberán inscribirse media hora antes de su inicio. ",NULL,Terraza,0,0,2012-10-06,18:30:00,NULL,0,1,0,"Esta actividad se puede ver y, quienes quieran participar, deberán inscribirse previamente.",1,2012-09-19 19:05:05,2012-09-21 22:14:22
87,32,8,1,Passing Through - Clase Especial,"Esta actividad se puede ver y, quienes quieran participar, deberán inscribirse media hora antes de su inicio. ",NULL,Terraza,0,0,2012-10-08,18:30:00,NULL,0,1,0,"Esta actividad se puede ver y, quienes quieran participar, deberán inscribirse previamente.",1,2012-09-19 19:06:14,2012-09-21 22:14:07
88,36,6,1,Acción Danzas Calle - Laboratorio,,NULL,Punto de Encuentro,95,0,2012-10-05,14:00:00,NULL,0,1,0,Esta actividad está dirigida a bailarines y fotógrafos. Requiere inscripción previa.,1,2012-09-19 19:07:42,2012-09-26 14:38:49
