ID_PLACE,TITLE,TICKETS_INFO_ES,ADDRESS,CITY,ID_COUNTRY,PHONE,BUS,SUBWAY,ROOMS,IS_NATIONAL,FILEPIC1,FILEMAP1,LAT,LONG,WEIGHT,PUBLISHED,CREATED_TS,UPDATED_TS
1,Centro Cultural Recoleta,"A partir de las 21 h, el ingreso al Centro Cultural Recoleta será solamente por Av. Pueyrredón esq. Azcuénaga.",Junín 1930,Buenos Aires,13,4803-1040,"10, 17, 21, 37, 59, 60, 61, 62, 67, 92, 93, 101, 102, 110, 124.",,"Punto de Encuentro,Auditorio El Aleph,Paradora,Terraza,Microcine,Patio de la Fuente",1,1347995306.68.jpg,,-34.5864,-58.3916,1,1,2010-09-22 15:16:18,2012-09-25 21:46:19
12,Anfiteatro del Parque Centenario,,"Av. Ángel Gallardo y Leopoldo Marechal, entrada por Lillo. ",Buenos Aires,13,,15- 36- 42- 55- 65- 76- 92- 99- 105- 112- 124- 142,Línea B – Estación: Ángel Gallardo,,NULL,1328548000.0197_1,1328554859.2895_1,NULL,NULL,0,0,2012-02-06 17:06:40,2012-09-13 19:50:42
13,Buenos Aires Polo Circo,,"Combate de los Pozos 1700, esq. Av. Garay ",Buenos Aires,13,,6- 9- 25- 28- 32- 50- 65- 75- 101- 133- 134- 165,,,NULL,,1328554863.2244_1,NULL,NULL,2,0,2012-02-06 16:54:35,2012-09-19 19:29:59
14,Museo de Arte Hispanoamericano Isaac Fernández Blanco,,Suipacha 1422 ,Buenos Aires,13,,"10, 17, 45, 56, 59, 67, 70, 86, 91, 100, 105.",Línea C – Estación: Retiro o San Martín.,,NULL,1328548131.6561_1,1328554938.0124_1,NULL,NULL,6,0,2012-02-06 17:08:51,2012-09-13 19:51:34
15,Dirección General de Museos (Ex Munich). ,,Av. de los Italianos 851 ,Buenos Aires,0,,2 - 4,,,NULL,1328548216.8374_1,1328554950.1902_1,NULL,NULL,8,0,2012-02-06 17:10:16,2012-09-13 19:51:26
16,IMPA. La Fábrica Centro Cultural,,"Querandíes 4290, e/Pringles y Rawson ",Buenos Aires,13,,"2, 5, 15, 26, 65, 85, 86, 88, 103, 104, 105, 112, 132, 146",Línea A - Estación: Castro Barros,,NULL,1328549054.0162_1,1328554970.6589_1,NULL,NULL,10,0,2012-02-06 17:24:14,2012-09-13 19:51:18
17,Belisario Club de Cultura,,Av. Corrientes 1624 ,Buenos Aires,0,,"23, 24, 26, 29, 37, 39, 50, 60, 67, 75, 98, 99, 102, 105, 109, 115, 124, 140, 146, 150, 180","CALLAO (Línea B), TRIBUNALES (Línea D), URUGUAY (Línea B)",,NULL,1328549074.2864_1,1328554998.0401_1,NULL,NULL,12,0,2012-02-06 17:24:34,2012-09-13 19:51:13
18,Café Rivas,,"Estados Unidos 302, esq. Balcarce ",Buenos Aires,13,,"9, 10, 20, 22, 24, 28, 29, 45, 74, 86, 126, 195",,,NULL,1328549668.4988_1,1328555020.2583_1,NULL,NULL,14,0,2012-02-06 17:34:28,2012-09-13 19:51:06
19,CCC Teatro 25 de Mayo,,Av. Triunvirato 4444,Buenos Aires,13,4524-7997,"71, 93, 108, 112, 113, 114, 127, 133, 175, 176","Línea B, estación Los Incas","Principal,Fotogalería,Redonda",NULL,1347995332.6552.jpg,NULL,-34.5762,-58.4835,2,1,2012-09-13 20:07:11,2012-09-25 21:46:31
20,Teatro Sarmiento ,,Av. Sarmiento 2715,Buenos Aires,NULL,4808-9479,"10, 41, 55, 57, 59, 60, 64, 67, 68, 93, 95, 108, 111, 118, 152.","Línea D, estación Plaza Italia.",,NULL,1348261094.3627.jpg,NULL,-34.5797,-58.42,3,1,2012-09-13 21:06:39,2012-09-25 21:46:38
21,IUNA / Crítica de Artes,,Bartolomé Mitre 1869 3º piso,Buenos Aires,NULL,,"5, 6, 7, 12, 23, 24, 26, 37, 50, 56, 60, 64, 75, 86, 98, 102, 105, 115, 124, 146, 150, 151, 168, 180","Línea A, estación Congreso / Línea B, estación Callao",Aula Mayor,NULL,1348261323.0438.jpg,NULL,-34.608,-58.393,4,1,2012-09-15 19:31:51,2012-09-25 21:46:48
22,Teatro Hasta Trilce,,Maza 177,Buenos Aires,13,,"2, 5, 19, 86, 88, 103, 104, 105, 115, 127, 128, 132, 151, 160, 165, 180","Línea A, estación Loria",,NULL,1348261016.7891.jpg,NULL,-34.6132,-58.4163,5,1,2012-09-19 15:14:54,2012-09-25 21:47:15
